"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cancelmi","Dan","Daniel (Dan) J Cancelmi","IQ33713414","1962","56","Male","","Tenet Healthcare","147","Public Company","Healthcare ","  19,179.0 ","  3,477.3 ","  111,980 ","www.tenethealth.com","Chief Financial Officer","","No","6-Sep-12","1-Sep-99","  5.9 ","  18.9 ","Internal","Senior Vice President/Controller/Principal Accounting Officer ","Accounting","Hahnemann University Hospital Inc","Healthcare ","Medical","Chief Financial Officer","CFO/FD","20","5","13","None","None","None","None","None","None","None","None","None","5","9","None","None","None","None","None","None","","22","None","None","None","9","None","US","30","None","None","None","None","None","None","None","None","None"," Duquesne University  ","Science","1985","No","NA","NA","No","NA"
"","Swanson","Al","Al Swanson","IQ106583322","1964","54","Male","","Plains GP Holdings ","115","Public Company","Industrial and Natural Resources ","  26,223.0 ","  3,827.8 ","0","www.plainsallamerican.com","Executive Vice President/Chief Financial Officer","","Yes","15-Nov-08","1-Nov-00","  9.7 ","  17.7 ","Internal","Senior Vice President/Treasurer","Treasury","Santa Fe Snyder Corp","Industrial and Natural Resources ","Private","Treasurer ","Treasury","25","5","5","None","None","None","None","None","None","2","6","None","10","None","None","None","None","None","None","None","Industrial and Natural Resources","None","None","None","32","None","None","US","32","None","None","None","None","None","None","None","None","None","North Dakota, University of USA","Business Administration","1986","No","NA","NA","No","NA"
"","Bombara","Beth","Beth A Bombara","","1967","51","Female","","Hartford Financial Services Group","156","Public Company","Financial Services ","  16,937.0 ","  18,851.8 ","  16,400 ","www.thehartford.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jul-14","1-Apr-04","  4.1 ","  14.3 ","Internal","Executive Vice President/Division President, Talcott Resolution ","Non-Finance","Deloitte LLP","Technology","Partnership","Senior Manager ","Non-Finance ","14","4","7","3","None","4","None","Unknown","None","None","Unknown","None","4","3","None","None","None","None","None","None","","None","14","None","None","3","None","US","17","None","None","None","None","None","None","None","None","None","Bryant University  ","Business Administration","Unknown","No","NA","NA","No","NA"
"","Williamson","Stephen","Stephen Williamson","IQ285414074","1966","52","Male","","Thermo Fisher Scientific","144","Public Company","Healthcare","  20,918.0 ","  85,293.6 ","  70,000 ","www.thermofisher.com","Senior Vice President/Chief Financial Officer","","Yes","1-Aug-15","1-Jul-01","  3.0 ","  17.1 ","Internal","Vice President, Financial Operations","Other","Honeywell International Inc","Industrial and Natural Resources ","Public","Division FD ","Divisional Chief Financial Officer","18","3","None","None","None","4","None","None","None","1","None","None","18","9","None","None","None","None","None","None","Healthcare , Industrial and Natural Resources, Technology","None","None","21","None","9","None","US and UK","21","None","None","None","9","None","None","None","None","None","University of Wales","Finance","1988","No","NA","NA","No","NA"
"","Henry","Maria","Maria G Henry","IQ292535728","1966","52","Female","","Kimberly-Clark","163","Public Company","Consumer","  18,259.0 ","  36,220.3 ","  42,000 ","www.kimberly-clark.com","Senior Vice President/Chief Financial Officer","","No","27-Apr-15","27-Apr-15","  3.2 ","  3.2 ","External","NA","NA","Hillshire Brands Co","Consumer","Public","Executive Vice President/Chief Financial Officer/Interim Principal Accounting Officer ","Other","21","4","None","None","None","2","2","None","None","None","None","None","4","None","None","None","None","None","Unable to Calculate ","None","","7","4","None","6","None","None","US","30","None","None","None","None","None","None","None","None","None","University of Maryland","Unknown","1987","No","NA","NA","No","NA"
"","Carlson","John","John D Carlson Jr","IQ132380922","1969","49","Male","","Penske Automotive Group","139","Public Company","Consumer","  21,386.9 ","  4,121.7 ","  26,000 ","www.penskeautomotive.com","Executive Vice President/Chief Financial Officer","","Yes","16-Jun-15","1-Apr-06","  3.1 ","  12.3 ","Internal","Senior Vice PresidentCorporate Controller","Accounting","Tecumseh Products","Industrial and Natural Resources ","Public","Corporate Controller ","Accounting","13","2","13","None","None","None","None","None","None","None","None","None","3","9","None","None","None","None","None","None","","None","None","None","13","None","None","US","22","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Yes","Stephen M Ross School of Business, University of Michigan  ","1995","No","NA"
"","McGinnis","Jack","John (Jack) Thomas McGinnis","IQ325598157","1966","52","Male","","ManpowerGroup","143","Public Company","Technology ","  21,034.3 ","  6,019.5 ","  29,000 ","www.manpowergroup.com","Executive Vice President/Chief Financial Officer","","Yes","15-Feb-16","15-Feb-16","  2.4 ","  2.4 ","External","NA","NA","MORGAN STANLEY","Financial Services ","Public","Global Controller","Accounting","29","2","8","None","None","4","2","None","None","None","None","None","5","17","None","None","None","None","None","None","","None","12","None","None","17","None","US","29","None","None","None","None","None","None","None","None","None","Loyola University Chicago ","Business Administration","Unknown","No","NA","NA","No","NA"
"","Wells","Jason","Jason P Wells","IQ321234160","1977","41","Male","","Pacific Gas & Electric Corp.","168","Public Company","Industrial and Natural Resources ","  17,135.0 ","  22,144.5 ","  23,000 ","www.pgecorp.com","Senior Vice President/Chief Financial Officer","","Yes","1-Jan-16","1-Mar-07","  2.6 ","  11.4 ","Internal","Vice President, Finance","Other","PricewaterhouseCoopers LLC","Technology","Private","Senior Manager","Other","18","2","10","10","None","2","None","None","3","4","None","10","4","7","None","None","None","None","None","None","Industrial and Natural Resources & Technology","None","None","None","11","7","None","US","18","None","None","None","None","None","None","None","None","None"," University of Florida  ","Accounting","2000","No","NA","NA","Master of Science,2000","University of Florida"
"","Vanneste","Jeff","Jeffrey (Jeff) H Vanneste","IQ11098210","1960","58","Male","American","Lear","148","Public Company","Industrial and Natural Resources ","  20,467.0 ","  12,887.3 ","  165,000 ","www.lear.com","Senior Vice President/Chief Financial Officer","","No","1-Jan-11","1-Jan-91","  7.6 ","  27.6 ","Internal","Regional Chief Financial Officer","Other","Champagne Webber Inc","Technology","Private ","Assistant Controller ","Accounting","34","5","8","2","None","None","None","None","1","10","None","None","None","2","None","None","None","None","None","None","Industrial and Natural Resources & Technology","None","None","None","27","2","None","US","34","None","None","None","None","None","None","None","None","None","Wayne State University","Accounting","1983","Yes"," Michigan State University  ","1997","No","NA"
"","Ward","Pat","Patrick (Pat) Joseph Ward","IQ42953462","1963","55","Male","","Cummins","149","Public Company","Industrial and Natural Resources ","  20,428.0 ","  23,367.4 ","  58,600 ","www.cummins.com","Vice President/Chief Financial Officer","","Yes","1-May-08","1-Jan-87","  10.2 ","  31.6 ","Internal","Vice President, Engine Business Controller","Non-Finance","British Rail PLC","Industrial and Natural Resources ","Private","Management Accountant ","Accounting","35","10","16","Unknown","None","None","None","Unknown","None","None","Unknown","Unknown","None","None","None","None","None","None","None","None","Industrial and Natural Resources & Consumer","None","None","None","34","None","None","US and UK","32","None ","None ","None ","2","None ","None ","None ","None ","None","Dundee College","Unknown","1981","Yes"," University of Strathclyde Graduate School of Business  ","1992","No","NA"
"","Patel","Sunit","Sunit S Patel","IQ542359821","1961","57","Male","","CenturyLink","166","Public Company","Industrial and Natural Resources ","  17,656.0 ","  20,181.8 ","  51,000 ","www.centurylink.com","Executive Vice President/Chief Financial Officer","","No","1-Nov-17","1-Nov-17","  0.7 ","  0.7 ","External","NA","NA","Level 3 Communications","Technology","Public","Executive Vice President/Chief Financial Officer","CFO/FD","33","14","None","None","None","None","None","None","None","None","6","None","None","None","None","None","None","None","None","None","","None","None","None","None","32","None","US","32","None","None","None","None","None","None","None","None","None","Rice University","Chemical Engineering & Economics","1985","No","NA","NA","No","NA"
"","Alexander","Forbes","Forbes Ian Alexander","IQ198313","1960","58","Male","American","Jabil Circuit","159","Public Company","Technology ","  19,063.1 ","  4,791.5 ","  170,000 ","www.jabil.com","Chief Financial Officer","","Yes","1-Sep-14","1-Jan-93","  3.9 ","  25.6 ","Internal","Treasurer","Treasury","RADIOSHACK CORP","Consumer","Public","Financial Controller ","Accounting","25","14","3","None","None","None","None","None","None","None","8","None","14","None","None","None","None","None","None","None","","Unable to Calculate ","None","None","25","Unable to calculate","None","US","25","None","None","None","None","None","None","None","None","None","University of Abertay Dundee  ","Accounting","1981","No","NA","NA","No","NA"
"","Osbourn","Bill","William (Bill) F Osbourn Jr","IQ411953418","1964","54","Male","","Xerox","291","Public Company","Technology ","  10,265.0 ","  6,930.6 ","  35,000 ","www.xerox.com","Corporate Executive Vice President/Chief Financial Officer","","No","5-Dec-16","5-Dec-16","  1.6 ","  1.6 ","External","NA","NA","TIME WARNER CABLE INC","Consumer","Public","Senior VP/Chief Accounting Officer/Controller/Acting Co-Chief Financial Officer ","Accounting","31","2","15","11","None","None","None","2","2","None","2","2","2","14","None","None","None","None","None","None","","None","None","None","None","14","None","US","30","None ","None ","None ","None ","None ","None ","None ","None ","None","Washington University ","Accounting","1987","No","NA","NA","No","NA"
"","Oberg","Leeny","Kathleen (Leeny) Kelly Oberg","IQ321154606","1960","58","Female","","Marriott International","127","Public Company","Consumer","  5,129.0 ","  47,760.0 ","  177,000 ","www.marriott.com","Executive Vice President/Chief Financial Officer","","Yes","1-May-13","1-Nov-99","  5.2 ","  18.7 ","Internal","Senior Vice President - Corporate Development","CD","Sallie Mae Corp","Financial Services","Private","Vice President - IR","IR","31","2","None","None","5","None","None","6","None","4","9","None","8","None","None","None","None","3","None","None","","4","10","None","None","None","None","US","30","None ","None ","None ","None ","None ","None ","None ","None ","None","McIntire School of Commerce, University of Virginia  ","Finance and Management Information Systems","1982","Yes","Stanford University","1987","No","NA"
"","Schippers","Harrie","Harrie C Schippers","IQ100455245","1962","56","Male","Dutch","Paccar","155","Public Company","Industrial and Natural Resources ","  19,456.4 ","  22,296.8 ","  25,000 ","www.paccar.com","President/Chief Financial Officer","","Yes","1-Feb-17","1-Jan-86","  1.5 ","  32.6 ","Internal","Senior Vice President ","Unknown","NA","NA","NA","NA","NA","15","1","17","None","None","None","None","None","None","7","None","None","7","None","None","6","None","None","None","None","Industrial and Natural Resources ","None","None","None","32","None","None","US, Netherlands ","15","None","None","None","None","30","None","None","None","None","Unknown","Unknown","Unknown","No","NA","NA","No","Universiteit van Tilburg (Tilburg University) "
"","Mulligan","Don","Donal (Don) Leo Mulligan","IQ30740166","1960","58","Male","","General Mills","182","Public Company","Consumer","  15,740.4 ","  25,840.6 ","  38,000 ","www.generalmills.com","Executive Vice President/Chief Financial Officer","","Yes","1-Aug-07","1-Sep-98","  11.0 ","  19.9 ","Internal","Vice President/Treasurer ","Treasury","Pillsbury Co Inc","Consumer","Public","Chief Financial Officer","Treasury","33","11","10","16","2","None","7","11","11","2","13","11","23","None","None","None","None","None","None","None","","14","None","None","20","2","None","US","30","None ","None ","None ","None ","None ","None ","None ","None ","None","Duke University
","Political Science","1983","Yes","The Ross School of Business, The University of Michigan
","1985","No","NA"
"","Reilly","Rob","Robert (Rob) Q Reilly","IQ53834077","1964","54","Male","","PNC Financial Services Group","165","Public Company","Financial Services ","  15,888.0 ","  67,436.3 ","  51,632 ","www.pnc.com","Executive Vice President/Chief Financial Officer","","Yes","12-Aug-13","1-Jan-87","  5.0 ","  31.6 ","Internal","Executive Vice President, Asset Management Group ","Other","NA","NA","NA","NA","NA","13","5","None","None","None","None","None","None","None","None","None","None","13","None","None","None","None","None","None","None","Financial Services","None","31","None","None","None","None","US","31","None ","None ","None ","None ","None ","None ","None ","None ","None"," Georgetown University  ","Finance ","1987","No","NA","NA","No","NA"
"","Tierney","Brian","Brian X Tierney","IQ39800543","1967","51","Male","","American Electric Power","185","Public Company","Industrial and Natural Resources ","  15,424.9 ","  33,401.5 ","  17,666 ","www.aep.com","Executive Vice President/Chief Financial Officer","","No","1-Oct-09","1-Jan-98","  8.8 ","  20.6 ","Internal","Executive Vice President - East Utilities","Non-Finance","Peace Corps","Non - Profit ","Government ","Member ","Non-finance","17","9","None","None","None","None","None","9","None","None","9","None","9","None","None","None","None","None","None","None","Industrial and Natural Resources","None","None","None","20","None","None","US","20","None","None","None","None","None","None","None","None","None","Boston College  ","Business Administration, History","1989","Yes","University of Chicago Graduate School of Business","1995","No","NA"
"","Tran","Thomas (Tom) ","Thomas (Tom) L Tran","","","61","Male","","Molina Healthcare","152","Public Company","Healthcare ","  19,445.0 ","  5,715.9 ","  20,000 ","www.molinahealthcare.com","Chief Financial Officer and Treasurer","","No","4-Jun-18","4-Jun-18","  0.1 ","  0.1 ","External","NA","NA","Sentry Data Systems Inc  ","Technology","Private","Chief Financial Officer","CFO/FD","25","6","3","None","None","None","None","Unable to calculate","None","3","Unable to calculate","None","20","None","None","None","None","None","None","None","","None","None","25","None","None","None","US","25","None","None","None","None","None","None","None","None","None","Seton Hall University  ","Accounting","Unknown","Yes","New York University","Unknown","No","NA"
"","Frias","Jim","James (Jim) D Frias","IQ2038854","1956","62","Male","","Nucor","151","Public Company","Industrial and Natural Resources ","  20,252.4 ","  20,487.2 ","  25,100 ","www.nucor.com","Executive Vice President/Chief Financial Officer/Treasurer","","Yes","1-Jan-10","1-Jul-91","  8.6 ","  27.1 ","Internal","Vice President/Corporate Controller","Accounting","NA","NA","NA","NA","NA","40","8","32","None","None","None","None","None","None","None","8","None","8","None","None","None","None","None","None","None","","None","None","None","40","None","None","US","40","None","None","None","None","None","None","None","None","None","Olivet Nazarene University","Accounting","1978","No","NA","NA","No","NA"
"","Ketchum","John","John W Ketchum","IQ62169106","1970","48","Male","","NextEra Energy","167","Public Company","Industrial and Natural Resources ","  17,195.0 ","  76,995.5 ","  14,000 ","www.nexteraenergy.com","Chief Financial Officer/Executive Vice President, Finance","","Yes","4-Mar-16","1-Jun-09","  2.4 ","  9.2 ","Internal","Senior Vice President, Finance","Other","Kansas Law Review Inc","Non - Profit ","Private","Managing Editor  ","Other","5","2","1","None","None","None","None","None","None","3","None","1","4","None","None","None","None","None","None","None","","9","None","None","9","Unknown","Unknown","US","21","None","None","None","None","None","None","None","None","None","University of Arizona ","Unknown","Unknown","No","NA","NA","Master of Laws ","University of Missouri-Kansas City  "
"","Woseth","Rob","Rob N Woseth","IQ231010665","1971","47","Male","","Supervalu","180","Public Company","Consumer","  14,157.0 ","  738.3 ","  23,000 ","www.supervalu.com","Executive Vice President/Chief Financial Officer","","Yes","6-Jul-17","1-Jan-02","  1.1 ","  16.6 ","Internal"," Executive VP/Chief Strategy Officer ","Other","Water Tower Capital LLC ","Financial Services","Public","Vice President - Investments ","Other","20","None","None","None","9","None","None","None","8","None","None","None","2","None","None","None","None","3","None","None","Financial Services, Consumer","16","4","None","None","None","None","US","20","None ","None ","None ","None ","None ","None ","None ","None ","None","St. Cloud State University – St. Cloud, Minnesota","Finance","1993","Yes","University of Minnesota, Carlson School of Management ","1998","No","NA"
"","Rudd","Troy","W Troy Rudd","IQ312793679","1964","54","Male","","AECOM","164","Public Company","Industrial and Natural Resources ","  18,203.4 ","  5,358.6 ","  87,000 ","www.aecom.com","Executive Vice President/Chief Financial Officer","","Yes","5-Oct-15","1-Jan-09","  2.8 ","  9.6 ","Internal","Senior Vice President/Treasurer","Treasury","KPMG Inc","Technology ","Private ","Partner ","Non-Finance ","9","3","6","None","None","2","4","3","None","None","8","8","3","11","None","None","None","None","None","None","Industrial and Natural Resources, Technology & Consumer","Unable to Calculate ","None","None","Unable to calculate","20","None","US and Netherland","9","None ","None ","None ","None ","11","None ","None ","None ","None","University of British Columbia ","Science","Unknown","No","NA","NA","Master of Science"," Golden Gate University  "
"","Weber","Chris","Christopher (Chris) T Weber","IQ434933146","1972","46","Male","","Halliburton","146","Public Company","Industrial and Natural Resources ","  20,620.0 ","  42,525.2 ","  55,000 ","www.halliburton.com","Executive Vice President/Chief Financial Officer","","No","22-Jun-17","22-Jun-17","  1.1 ","  1.1 ","External","NA","NA","PARKER DRILLING CO","Industrial and Natural Resources ","Public","Senior VP and Chief Financial Officer","CFO/FD","11","5","None","3","3","None","5","None","7","None","2","8","None","None","None","None","None","None","None","None","Industrial and Natural Resources & Technology ","None","None","None","16","5","None","US and UK","21","None","None","None","2","None","None","None","None","None","Vanderbilt University  ","Economics and English Literature","1995","Yes","Wharton School, University of Pennsylvania","2001","No","NA"
"","Reedy","Tom","Thomas (Tom) W Reedy Jr","IQ4662012","1963","55","Male","","CarMax","174","Public Company","Industrial and Natural Resources ","  17,976.8 ","  12,554.4 ","  25,110 ","www.carmax.com","Executive Vice President/Chief Financial Officer","","Yes","18-Oct-10","21-Feb-03","  7.8 ","  15.4 ","Internal","Senior Vice President/Treasurer ","Treasury","GATEWAY INC","Technology","Public"," Vice President and Treasurer ","Treasury","26","8","None","None","4","None","2","2","2","None","16","None","9","None","None","None","None","2","None","None","Industrial and Natural Resources, Technology and Financial Services","None","3","None","5","19","None","US","30","None ","None ","None ","None ","None ","None ","None ","None ","None"," University of California","Economics","1987","Yes","Darden School of Business, University of Virginia ","1991","No","NA"
"","Quirk","Kathleen","Kathleen L Quirk","IQ8207007","1963","55","Female","American","Freeport-McMoRan Copper & Gold","176","Public Company","Industrial and Natural Resources ","  16,403.0 ","  24,142.1 ","  25,200 ","www.fcx.com","Executive Vice President/Chief Financial Officer/Treasurer","","Yes","10-Dec-03","1-Nov-97","  14.6 ","  20.7 ","Internal","Vice President/Treasurer ","Treasury","NA","NA","NA","NA","NA","21","15","None","None","Unable to calculate","None","None","Unable to calculate","None","None","18","Unable to calculate","None","None","None","None","None","None","None","None","Industrial and Natural Resources","None","None","None","21","None","None","US and UK","29","None","None","None","4","None","None","None","None","None","Louisiana State University  "," Accounting","1985","No","NA","NA","No","NA"
"","Manbeck","Keith","Keith Manbeck ","IQ430449732","1969","49","Male","","Whole Foods Market","N/A","Private Company","Consumer","  16,030.0 ","0","  89,000 ","www.wholefoodsmarket.com","Executive Vice President/Chief Financial Officer","","No","17-May-17","17-May-17","  1.2 ","  1.2 ","External","NA","NA","NIKE INC","Consumer","Public","Division VP/Chief Financial Officer ","CFO/FD","24","1","None","None","None","6","None","None","None","3","None","None","4","None","None","None","None","None","None","None","","24","None","None","None","None","None","US","24","None","None","None","None","None","None","None","None","None","Augustana College ","Arts ","1991","Yes"," University of Illinois  ","1993","No","NA"
"","Santomassimo","Mike","Michael (Mike) P Santomassimo","IQ543611455","1975","43","Male","","Bank of New York Mellon Corp.","175","Public Company","Financial Services ","  15,567.0 ","  56,118.2 ","  52,100 ","www.bnymellon.com","Chief Financial Officer","","Yes","1-Jan-18","1-Jul-16","  0.6 ","  2.1 ","Internal","Chief Financial Officer - Investment Services ","Divisional CFO","JP Morgan Chase","Financial Services ","Public","Chief Financial Officer - Investment Banking","Divisional Chief Financial Officer","12","None","None","None","None","13","None","None","None","None","None","None","None","None","None","None","None","2","None","None","Financial Services","None","12","None","None","None","None","US","12","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","None","The American University ","Finance","Unknown","Yes","New York University","Unknown","No","NA"
"","List-Stoll","Teri","Teri L List-Stoll","IQ416573848","1963","55","Female","","Gap","181","Public Company","Consumer","  15,855.0 ","  11,958.0 ","  135,000 ","www.gapinc.com","Executive Vice President/Chief Financial Officer","","No","17-Jan-17","17-Jan-17","  1.5 ","  1.5 ","External","NA","NA","DICK'S SPORTING GOODS INC","Consumer","Public","Executive Vice President/Chief Financial Officer  ","CFO/FD","24","4","11","None","None","None","None","None","4","5","4","None","11","None","None","None","None","None","None","None","","24","None","None","None","9","None","US","33","None ","None ","None ","None ","None ","None ","None ","None ","None","Northern Michigan University  ","Accounting","1984","No","NA","NA","No","NA"
"","Angelastro","Phil","Philip (Phil) J Angelastro","IQ185112","1965","53","Male","","Omnicom Group","188","Public Company","Consumer","  15,273.6 ","  16,838.0 ","  77,300 ","www.omnicomgroup.com","Executive Vice President/Chief Financial Officer","","Yes","22-Sep-14","1-Jun-97","  3.8 ","  21.2 ","Internal","Senior Vice President/Controller","Accounting","Coopers & Lybrand LLP","Technology","Public","Senior Vice President and Controller ","Accounting","32","4","15","None","None","None","None","None","None","None","None","Unknown","6","1","None","None","None","None","None","None","","21","None","None","None","1","None","US","32","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Yancey","Carol","Carol B Yancey","IQ8022474","1963","55","Female","","Genuine Parts","177","Public Company","Industrial and Natural Resources ","  16,308.8 ","  13,560.2 ","  48,000 ","www.genpt.com","Executive Vice President/Chief Financial Officer/Chief Accounting Officer","","Yes","1-Mar-13","1-Jan-91","  5.4 ","  27.6 ","Internal","Executive Vice President/Secretary ","Other","Ernst & Young Inc","Technology","Partnership","Unknown","Other","12","5","3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unable to calculate","None","None","Unknown","Unknown","Unknown","Unknown","Industrial and Natural Resources & Technology","None","None","None","27","Unable to calculate","None","US","27","None","None","None","None","None","None","None","None","None","University of Georgia","Science","Unknown","No","NA","NA","No","NA"
"","Ackerman","Joel","Joel Ackerman","IQ421162052","1965","53","Male","American","DaVita HealthCare Partners","179","Public Company","Healthcare ","  10,883.7 ","  11,998.5 ","  74,500 ","www.davita.com","Chief Financial Officer","","Yes","21-Feb-17","21-Feb-17","  1.4 ","  1.4 ","External","NA","NA","CHAMPIONS ONCOLOGY INC","Healthcare","Public","Chief Executive Officer","Non-Finance ","1","1","Unknown","Unknown","Unknown","None","None","None","None","None","Unknown","None","1","None","6","None","None","None","15","None","","None","15","6","None","5","None","US","21","None","None","None","None","None","None","None","None","None","Columbia University ","Physics","1987","No","NA","NA","Master of Science, 1988","Harvard University  "
"","Hickey","Dennis","Dennis J Hickey","IQ262280","1948","70","Male","American","Colgate-Palmolive","184","Public Company","Consumer ","  15,454.0 ","  55,841.7 ","  35,900 ","www.colgate.com/en/us/oc/","Vice Chairman","Yes","NA","1-Jan-11","1-May-77","  7.6 ","  41.3 ","Internal","Vice President and Corporate Controller ","Controllership","Grant Thornton LLP","Technology ","Partnership ","Unknown","Unknown","40","7","18","7","None","3","None","None","None","10","10","10","7","None","None","None","None","None","None","None","","40","None","None","None","Unable to Calculate ","None","US","40","None","None","None","None","None","None","None","None","None"," Steven L Newman Real Estate Institute (The), Baruch College  ","Unknown","1970","No","NA","NA","No","NA"
"","Jakobsen ","Henning","Henning I Jakobsen","","1961","57","Male","Unknown","Colgate-Palmolive","184","Public Company","Consumer","  15,454.0 ","  55,841.7 ","  35,900 ","www.colgate.com/en/us/oc/","Chief Financial Officer","","No","4-May-18","1-Sep-11","  0.2 ","  6.9 ","Internal","Vice President/Corporate Controller","Accounting","CHR. HANSEN HOLDING A/S","Healthcare ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","11","1","1","None","None","None","None","None","None","2","None","None","9","None","None","8","None","None","None","None","","24","None","5","5","None","None","US and Denmark","24","None","None","None","None","10","None","None","None","Chief Financial Officer ,Chr. Hansen Holding A/S, 2010","Unknown","Unknown","Unknown","No","NA","NA","Master of Science ","Copenhagen Business School"
"","Morales","Vince","Vincent (Vince) J Morales","IQ13590384","1965","53","Male","","PPG Industries","191","Public Company","Industrial and Natural Resources ","  14,748.0 ","  25,833.1 ","  47,200 ","www.ppg.com","Senior Vice President/Chief Financial Officer","","Yes","1-Mar-17","1-Jan-85","  1.4 ","  33.6 ","Internal","Vice President - Finance","Other","NA","NA","NA","NA","NA","32","1","14","None","None","None","None","3","None","1","1","None","11","None","None","None","None","None","None","None","","None","None","None","32","None","None","US","32","None","None","None","None","None","None","None","None","None"," Robert Morris University  ","Accounting","1989","Yes","Ohio State University Fisher College of Business ","1995","No","NA"
"","Thompson","Laura","Laura K Thompson","IQ22612582","1965","53","Female","American","Goodyear Tire & Rubber","187","Public Company","Industrial and Natural Resources ","  15,377.0 ","  5,880.7 ","  64,000 ","www.goodyear.com","Executive Vice President/Chief Financial Officer","","Yes","1-Dec-13","1-Jun-05","  4.6 ","  13.2 ","Internal","Vice President - Finance, North America","Other","North American Tires LLC","Industrial and Natural Resources ","Private","Director - Business Development","Other","21","4","5","5","None","None","None","7","None","2","5","5","14","None","None","None","None","None","None","None","Industrial and Natural Resources","None","None","None","34","None","None","US","34","None","None","None","None","None","None","None","None","None","University of Akron ","Science","1986","Yes","University of Akron College of
 
 
 Business
 
","1991","No","NA"
"","Doubles","Brian","Brian D Doubles","IQ260946423","1975","43","Male","","Synchrony Financial","173","Public Company","Financial Services ","  7,071.0 ","  25,784.3 ","  16,000 ","www.synchronyfinancial.com","Executive Vice President/Chief Financial Officer","","Yes","1-Feb-14","1-Feb-14","  4.5 ","  4.5 ","External","NA","NA","GE","Industrial and Natural Resources ","Public","Division Chief Financial Officer","Divisional Chief Financial Officer","15","None","None","5","None","5","2","None","None","None","None","None","4","None","None","1","None","None","None","None","","None","7","None","13","None","None","US","20","None","None","None","None","None","None","None","None","None","Michigan State University ","Science","1997","No","NA","NA","No","NA"
"","Swain","Steve","Steven (Steve) E Swain","IQ262751323","1967","51","Male","","DISH Network ","203","Public Company","Consumer","  14,391.4 ","  15,242.9 ","  17,000 ","www.dish.com","Senior Vice President/Chief Financial Officer","","No","15-Oct-14","1-Jan-11","  3.8 ","  7.6 ","Internal","Senior Vice President , Programming and Content Acquistion","Non-Finance","CENTURYLINK INC","Consumer","Public","Senior VP - Programming ","Non-finance","19","4","3","None","None","None","13","4","None","None","2","None","None","None","None","None","5","None","None","None","Consumer, Technology","5","None","None","None","23","None","US","28","None ","None ","None ","None ","None ","None ","None ","None ","None","University of Wisconsin ","Chemical Engineering","1989","Yes","University of Chicago ","1994","No","NA"
"","Prabhu","Vasant","Vasant M Prabhu","IQ284629743","1960","58","Male","American","Visa","161","Public Company","Technology ","  18,358.0 ","  297,836.2 ","  14,200 ","usa.visa.com","Executive Vice President/Chief Financial Officer","","No","9-Feb-15","9-Feb-15","  3.5 ","  3.5 ","External","NA","NA","NBCUniversal Media LLC","Consumer","Private","Chief Financial Officer ","CFO/FD","35","3","3","None","None","None","None","Unknown","None","None","None","None","23","None","None","None","None","None","None","None","Financial Services, Consumer and Technology","15","5","None","None","9","None","US","34","None ","None ","None ","None ","None ","None ","None ","None ","None"," Indian Institute of Technology (IIT) Bombay  ","Engineering","1981","Yes","University of Chicago, Booth School of Business ","1983","No","NA"
"","Bramman","Anne","Anne L Bramman","IQ432855626","1967","51","Female","","Nordstrom","183","Public Company","Consumer","  15,478.0 ","  8,512.1 ","  76,000 ","shop.nordstrom.com","Chief Financial Officer","","No","2-Jun-17","2-Jun-17","  1.1 ","  1.1 ","External","NA","NA","AVERY DENNISON CORP","Industrial and Natural Resources ","Public","Senior Vice President and Chief Financial Officer ","CFO/FD","29","10","2","5","None","None","None","None","None","7","2","None","10","3","None","None","None","None","None","None","","9","None","None","2","3","None","US","29","None","None","None","None","None","None","None","None","None","Texas Christian University ","Accounting","1989","Yes","UCLA Anderson School of Management ","1998","No","NA"
"","Cho","SungHwan","SungHwan Cho","IQ183304745","1974","44","Male","","Icahn Enterprises","136","Public Company","Industrial and Natural Resources ","  19,544.0 ","  12,624.5 ","  89,034 ","www.ielp.com","Chief Financial Officer","","Yes","16-Mar-12","1-Oct-06","  6.4 ","  11.8 ","Internal","Division Senior Vice President, Portfolio Company Associate ","Non-Finance","ATARI INC","Consumer","Public","Director - Finance ","Other","24","6","None","None","3","None","None","None","None","2","None","None","8","None","None","None","None","Unable to Calculate ","None","None","","None","None","None","6","5","0.3","US","24","None","None","None","None","None","None","None","None","None","Stanford University ","Computer Science","1996","Yes","Leonard N Stern School of Business, New York University ","2004","No","NA"
